Id,method,comment,isConsistent,tokensLength
0,"public static JSONElement parse(InputStream is, String encoding) throws ConverterException {
          return parse(GrailsIOUtils.toString(is, encoding));
    }",Parses the given JSON and returns either a JSONObject or a JSONArray,1,44
1,"public static Counter newCounter(Class<?> klass, String name) {
        return DEFAULT_REGISTRY.newCounter(klass, name);
    }",Creates a new  com.yammer.metrics.core.Counter and registers it under the given class and name.,1,40
2,"public AngularCoordinates revert() {
        return new AngularCoordinates(rotation.revert(),
                                      rotation.applyInverseTo(rotationRate.negate()),
                                      rotation.applyInverseTo(rotationAcceleration.negate()));
    }",Revert a rotation/rotation rate/ rotation acceleration triplet.,1,54
3,"protected static ColumnMetadata getColumnDefinition(TableMetadata metadata, Raw rawId)
        {
            return rawId.prepare(metadata);
        }",Retrieves the ColumnMetadata corresponding to the specified raw ColumnIdentifier.,1,35
4,"public static Timer newTimer(Class<?> klass,
                                       String name) {
        return DEFAULT_REGISTRY.newTimer(klass, name);
    }","Creates a new  com.yammer.metrics.core.Timer and registers it under the given class and name, measuring elapsed time in milliseconds and invocations per second.",1,41
5,"public static double get(MetricKey<MethodLike> key, MethodLike node, MetricOptions options) {
        return FACADE.computeForOperation(key, node, options);
    }",Computes a metric identified by its key on a operation AST node.,1,48
6,"public static Object getValue(Annotation annotation, String attributeName) {
		if (annotation == null || !StringUtils.hasText(attributeName)) {
			return null;
		}
		try {
			Method method = annotation.annotationType().getDeclaredMethod(attributeName);
			ReflectionUtils.makeAccessible(method);
			return method.invoke(annotation);
		}
		catch (InvocationTargetException ex) {
			rethrowAnnotationConfigurationException(ex.getTargetException());
			throw new IllegalStateException(
					""Could not obtain value for annotation attribute '"" + attributeName + ""' in "" + annotation, ex);
		}
		catch (Throwable ex) {
			handleIntrospectionFailure(annotation.getClass(), ex);
			return null;
		}
	}","Retrieve the value of a named attribute, given an annotation instance.",1,195
7,"public boolean sendMessageToEndPoint(final String url, final String message, final boolean async) {
        final Future<Boolean> result = EXECUTOR_SERVICE.submit(new MessageSender(url, message,
                this.readTimeout, this.connectionTimeout, this.followRedirects));

        if (async) {
            return true;
        }

        try {
            return result.get();
        } catch (final Exception e) {
            return false;
        }
    }",Sends a message to a particular endpoint.,1,135
8,"public Module remove(long moduleId)
		throws NoSuchModuleException, SystemException {
		return remove(Long.valueOf(moduleId));
	}",Removes the module with the primary key from the database.,1,38
9,"@Override
    public Complex add(Complex addend) throws NullArgumentException {
        MathUtils.checkNotNull(addend);
        if (isNaN || addend.isNaN) {
            return NaN;
        }

        return createComplex(real + addend.getReal(),
                             imaginary + addend.getImaginary());
    }",Returns a  Complex whose value is  (this + addend).,1,87
